,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,EGRNF,China Evergrande Group,0.04,0.01,33.33%,"43,612","35,871",2.775B,0.17,10-03-2023 14:54
1,ASAN,"Asana, Inc.",21.17,3.37,18.93%,27.399M,3.293M,4.504B,N/A,10-03-2023 14:54
2,DNPLY,"Dai Nippon Printing Co., Ltd.",15.61,1.89,13.78%,"25,485","35,366",8.296B,12.49,10-03-2023 14:54
3,HCM,HUTCHMED (China) Limited,15.11,1.54,11.35%,"4,86,829","2,92,866",2.613B,N/A,10-03-2023 14:54
4,GOL,Gol Linhas Aéreas Inteligentes S.A.,3.16,0.24,8.22%,5.18M,1.604M,5.055B,N/A,10-03-2023 14:54
5,NARI,"Inari Medical, Inc.",57.85,3.76,6.95%,1.591M,"7,98,742",3.142B,N/A,10-03-2023 14:54
6,NVEI,Nuvei Corporation,38.77,2.36,6.48%,1.043M,"3,71,162",5.502B,84.28,10-03-2023 14:54
7,GE,General Electric Company,91.56,4.58,5.27%,28.44M,7.616M,99.735B,172.75,10-03-2023 14:54
8,STAA,STAAR Surgical Company,60.99,2.6,4.45%,1.558M,"7,97,467",2.942B,78.19,10-03-2023 14:54
9,NPNYY,Nippon Yusen Kabushiki Kaisha,5.47,0.22,4.29%,"20,114","59,410",13.861B,1.54,10-03-2023 14:54
10,AHKSY,Asahi Kasei Corporation,14.2,0.56,4.11%,"65,282","1,71,459",9.947B,15.43,10-03-2023 14:54
11,TTNDY,Techtronic Industries Company Limited,52.71,1.95,3.84%,"64,018","50,488",19.417B,16.79,10-03-2023 14:54
12,UBSFY,Ubisoft Entertainment SA,4.78,0.16,3.46%,"1,26,576","1,12,289",2.99B,N/A,10-03-2023 14:54
13,LFST,"LifeStance Health Group, Inc.",5.79,0.19,3.39%,"9,52,416","4,75,859",2.177B,N/A,10-03-2023 14:54
14,AJINY,"Ajinomoto Co., Inc.",32.7,1.02,3.22%,"17,053","9,818",17.554B,34.06,10-03-2023 14:54
